lat,lon,elev,slope,d_road,d_water,prob,bias_factor,base_prob
37.5,-120.0,4000.0,20.747883715934698,49635.4558989669,50049.51595732377,0.0,1.0,0.0
37.5,-119.98305084745763,4000.0,16.474621884722207,48498.76554521989,49020.56300616803,0.0,1.0,0.0
37.5,-119.96610169491525,4000.0,13.39497081111901,46637.47929805215,47698.697563014044,0.0,1.0,0.0
37.5,-119.94915254237289,4000.0,13.549103551135138,45803.11835087134,45610.36963964074,0.0,1.0,0.0
37.5,-119.9322033898305,4000.0,11.350896501332869,43963.75157634396,43897.74523986586,0.0,1.0,0.0
37.5,-119.91525423728814,4000.0,23.052615007956756,42145.9346665773,42013.73966520749,0.0,1.0,0.0
37.5,-119.89830508474576,4000.0,24.89854668827159,40535.92310309373,41429.495428711816,0.0044444444444444444,1.0,0.0044444444444444444
37.5,-119.88135593220339,4000.0,9.232058791460027,39768.99395214705,39973.02139949298,0.0,1.0,0.0
37.5,-119.86440677966101,4000.0,10.982098199488192,37777.921491785564,37764.334929552024,0.0044444444444444444,1.0,0.0044444444444444444
37.5,-119.84745762711864,4000.0,5.880298666188717,36711.92342276632,36463.889719319115,0.007777777777777777,1.0,0.007777777777777777
37.5,-119.83050847457628,4000.0,4.220521768981864,35533.18033600268,35617.79890837813,0.0061111111111111106,1.0,0.0061111111111111106
37.5,-119.8135593220339,4000.0,13.87028284923786,34706.63072459218,33729.90392274817,0.0,1.0,0.0
37.5,-119.79661016949153,4000.0,14.095095046830226,32523.61703943069,32859.39224401258,0.0,1.0,0.0
37.5,-119.77966101694915,4000.0,12.380026957062057,31993.803418008192,31448.2233438612,0.03211111111111112,1.0,0.03211111111111112
37.5,-119.76271186440678,4000.0,4.931427515475099,30589.41716364019,30373.857901875104,0.14266666666666664,1.0,0.14266666666666664
37.5,-119.7457627118644,4000.0,18.180465876052185,30191.490908957607,29828.577284932628,0.0,1.0,0.0
37.5,-119.72881355932203,4000.0,10.417957751525991,29341.758802386266,28777.725026488646,0.0,1.0,0.0
37.5,-119.71186440677967,4000.0,13.96658919697186,28017.84396777096,27829.084470265196,0.0,1.0,0.0
37.5,-119.69491525423729,4000.0,11.237650818097283,27568.438541468968,27501.394898163046,0.0,1.0,0.0
37.5,-119.67796610169492,4000.0,5.343835232211109,25703.249951127895,26773.750035753306,0.0,1.0,0.0
37.5,-119.66101694915254,4000.0,1.2355470352375857,26344.798384333928,26898.40893729828,0.050666666666666665,1.0,0.050666666666666665
37.5,-119.64406779661017,4000.0,16.19245387225821,25849.45657009538,25778.874994864254,0.0,1.0,0.0
37.5,-119.62711864406779,4000.0,10.548627279056744,25734.312245257435,25697.125430080287,0.0,1.0,0.0
37.5,-119.61016949152543,4000.0,16.960211747682614,25442.527053692025,25303.283384191876,0.0,1.0,0.0
37.5,-119.59322033898304,4000.0,7.507660091044814,25611.94134961381,25595.115071935987,0.0,1.0,0.0
37.5,-119.57627118644068,4000.0,14.373491164399764,25790.542047421113,26048.38541655377,0.0,1.0,0.0
37.5,-119.55932203389831,4000.0,14.789051531759311,26147.56306465588,25748.83588502914,0.0,1.0,0.0
37.5,-119.54237288135593,4000.0,10.473876478226662,26305.957835917565,26554.62254610157,0.0,1.0,0.0
37.5,-119.52542372881356,4000.0,14.648463771783653,27166.125714566668,27347.325596744075,0.0,1.0,0.0
37.5,-119.50847457627118,4000.0,2.1226671682306435,27436.935806628888,27863.377236821783,0.08622222222222224,1.0,0.08622222222222224
37.5,-119.49152542372882,4000.0,14.999643649981023,29483.335492891852,29083.5886322292,0.0,1.0,0.0
37.5,-119.47457627118644,4000.0,19.45363068424976,29701.060566370186,29525.601046433716,0.0,1.0,0.0
37.5,-119.45762711864407,4000.0,10.48765156755936,30430.144733107372,30675.358009090633,0.1521111111111111,1.0,0.1521111111111111
37.5,-119.44067796610169,4000.0,12.015230100767072,31920.57261579021,32059.29741335294,0.00611111111111111,1.0,0.00611111111111111
37.5,-119.42372881355932,4000.0,4.575510157750482,31575.468281851146,33132.7248226739,0.07211111111111113,1.0,0.07211111111111113
37.5,-119.40677966101696,4000.0,10.876172990536583,33482.813901764406,33527.276283520085,0.0,1.0,0.0
37.5,-119.38983050847457,4000.0,15.795775801513233,35053.45540038844,34564.397913108325,0.0,1.0,0.0
37.5,-119.37288135593221,4000.0,13.959020027012732,35928.407830263015,36722.871590583825,0.0,1.0,0.0
37.5,-119.35593220338983,4000.0,14.896457498005441,38019.97122477242,37668.26035830087,0.0,1.0,0.0
37.5,-119.33898305084746,4000.0,11.20735213486515,39277.30621186471,39010.97809389771,0.0,1.0,0.0
37.5,-119.32203389830508,4000.0,7.5759864298654955,40578.77616961396,41178.76174361837,0.02722222222222222,1.0,0.02722222222222222
37.5,-119.30508474576271,4000.0,3.9321930106162943,42588.72986915198,41790.347602259615,0.0033333333333333335,1.0,0.0033333333333333335
37.5,-119.28813559322033,4000.0,17.19952343698038,41822.82929427859,42673.43997821111,0.0,1.0,0.0
37.5,-119.27118644067797,4000.0,9.560442959271487,43558.43605847594,42298.06747494218,0.0,1.0,0.0
37.5,-119.2542372881356,4000.0,13.49646290203246,43564.42854403135,43382.01125835001,0.0,1.0,0.0
37.5,-119.23728813559322,4000.0,8.232910648269083,43654.564696596106,43221.26401420091,0.056666666666666664,1.0,0.056666666666666664
37.5,-119.22033898305085,4000.0,12.682676655413687,43827.492669287916,44065.55753670345,0.0,1.0,0.0
37.5,-119.20338983050847,4000.0,7.1419298074467426,45267.55726728888,44470.28202962525,0.02722222222222222,1.0,0.02722222222222222
37.5,-119.1864406779661,4000.0,14.68326376263643,45985.91060024676,45608.744516114784,0.0,1.0,0.0
37.5,-119.16949152542372,4000.0,8.216024557152696,45473.143215932345,46634.44864488991,0.05333333333333334,1.0,0.05333333333333334
37.5,-119.15254237288136,4000.0,10.745834917724764,47701.12417756897,47203.89610946464,0.0,1.0,0.0
37.5,-119.13559322033899,4000.0,22.82501172450542,47626.92697676947,48227.03813038391,0.0,1.0,0.0
37.5,-119.11864406779661,4000.0,13.342961394316287,49679.978888583486,49068.09540226411,0.0,1.0,0.0
37.5,-119.10169491525424,4000.0,17.36253668654901,49752.5079311639,49683.22139573364,0.0,1.0,0.0
37.5,-119.08474576271186,4000.0,2.1682170531199914,52031.380287267966,50672.3142125813,0.14555555555555558,1.0,0.14555555555555558
37.5,-119.0677966101695,4000.0,10.615933500555396,52271.30897765962,52362.326792516855,0.0,1.0,0.0
37.5,-119.05084745762711,4000.0,9.084612807155308,53191.52146894626,53359.85631098595,0.0,1.0,0.0
37.5,-119.03389830508475,4000.0,20.036727880099964,54718.443862109314,54693.41972210513,0.0,1.0,0.0
37.5,-119.01694915254237,4000.0,17.867369287426627,55799.13271875867,55319.572355020064,0.0,1.0,0.0
37.5,-119.0,4000.0,8.743215531040855,56715.312047470994,57155.5295939724,0.008888888888888889,1.0,0.008888888888888889
37.51186440677966,-120.0,4000.0,12.106357883680309,49755.78676299273,50112.03474008382,0.0,1.0,0.0
37.51186440677966,-119.98305084745763,4000.0,25.008415570901974,48250.94881503418,47439.965164471665,0.0044444444444444444,1.0,0.0044444444444444444
37.51186440677966,-119.96610169491525,4000.0,13.905791924413888,46998.71482323444,46555.79285157406,0.0,1.0,0.0
37.51186440677966,-119.94915254237289,4000.0,5.878508818553171,44655.82843713211,44505.183929512335,0.0033333333333333335,1.0,0.0033333333333333335
37.51186440677966,-119.9322033898305,4000.0,14.942892022103049,44024.95974463925,43308.40895141044,0.0,1.0,0.0
37.51186440677966,-119.91525423728814,4000.0,14.223013341100703,42243.77710325577,41462.52648863713,0.0,1.0,0.0
37.51186440677966,-119.89830508474576,4000.0,12.073440973645985,39737.23009524765,40324.16338194193,0.0,1.0,0.0
37.51186440677966,-119.88135593220339,4000.0,14.097662219535138,38202.29979044604,38514.808389250065,0.0,1.0,0.0
37.51186440677966,-119.86440677966101,4000.0,10.135834239541165,38061.89005893517,37078.517277634084,0.0,1.0,0.0
37.51186440677966,-119.84745762711864,4000.0,16.662954159365448,35081.95114022054,35262.89136309282,0.0,1.0,0.0
37.51186440677966,-119.83050847457628,4000.0,18.31292051713591,34153.24430666886,35196.63316531556,0.0,1.0,0.0
37.51186440677966,-119.8135593220339,4000.0,12.922756515985185,33889.17216325214,33719.94505341594,0.0,1.0,0.0
37.51186440677966,-119.79661016949153,4000.0,18.041831152965713,32376.28070806396,32042.00752991859,0.0,1.0,0.0
37.51186440677966,-119.77966101694915,4000.0,9.244071418357333,30265.48449489643,30673.5715993843,0.11933333333333332,1.0,0.11933333333333332
37.51186440677966,-119.76271186440678,4000.0,9.733859753363625,29905.067830305252,29843.46566914805,0.0,1.0,0.0
37.51186440677966,-119.7457627118644,4000.0,19.387650405276307,27948.736689987138,28461.483409269975,0.0,1.0,0.0
37.51186440677966,-119.72881355932203,4000.0,2.6673169146347,27530.442739605292,27535.25883001166,0.08622222222222224,1.0,0.08622222222222224
37.51186440677966,-119.71186440677967,4000.0,15.154058422773888,26210.910357617067,27279.231539681925,0.0,1.0,0.0
37.51186440677966,-119.69491525423729,4000.0,14.91048851734308,25869.706953659144,25695.117232067016,0.0,1.0,0.0
37.51186440677966,-119.67796610169492,4000.0,17.44374309852093,26303.43168421769,25824.11158973204,0.0,1.0,0.0
37.51186440677966,-119.66101694915254,4000.0,6.401912833554944,24936.88751329408,24335.91258016962,0.0,1.0,0.0
37.51186440677966,-119.64406779661017,4000.0,11.261987068506656,24273.54751972984,24028.154850483923,0.0,1.0,0.0
37.51186440677966,-119.62711864406779,4000.0,9.336495801690443,23702.537859820124,23425.817613690775,0.0,1.0,0.0
37.51186440677966,-119.61016949152543,4000.0,20.86125798334872,25043.68776380555,24075.92927955573,0.0,1.0,0.0
37.51186440677966,-119.59322033898304,4000.0,14.343871280375119,23785.388714565852,24375.119004105836,0.0,1.0,0.0
37.51186440677966,-119.57627118644068,4000.0,18.13466611942154,24450.710823793837,24439.685736980722,0.0,1.0,0.0
37.51186440677966,-119.55932203389831,4000.0,7.8655982298007,24744.663051558695,24968.112149554312,0.0,1.0,0.0
37.51186440677966,-119.54237288135593,4000.0,7.984105246598276,26096.315242614655,25268.633877822125,0.0,1.0,0.0
37.51186440677966,-119.52542372881356,4000.0,8.263941604260882,24757.20290432342,26234.536653368206,0.059888888888888894,1.0,0.059888888888888894
37.51186440677966,-119.50847457627118,4000.0,10.593362214408932,26740.600226891962,26861.886633590755,0.0,1.0,0.0
37.51186440677966,-119.49152542372882,4000.0,9.354736613268527,27950.937200658525,27177.51803389684,0.0,1.0,0.0
37.51186440677966,-119.47457627118644,4000.0,5.217090976882975,28732.932085626224,28489.024649720217,0.008666666666666666,1.0,0.008666666666666666
37.51186440677966,-119.45762711864407,4000.0,17.823696772285857,29168.01505980956,29292.235117104272,0.0,1.0,0.0
37.51186440677966,-119.44067796610169,4000.0,17.743186747143575,30143.58660085388,30670.001465297468,0.11099999999999999,1.0,0.11099999999999999
37.51186440677966,-119.42372881355932,4000.0,15.465528036315721,31928.023111196588,31729.693981832977,0.013888888888888886,1.0,0.013888888888888886
37.51186440677966,-119.40677966101696,4000.0,12.430719415231874,32556.387730374336,32216.052091318757,0.0,1.0,0.0
37.51186440677966,-119.38983050847457,4000.0,16.519674205430977,33220.9674102281,34099.51441658603,0.0,1.0,0.0
37.51186440677966,-119.37288135593221,4000.0,22.287477348558493,35718.83612763914,35490.038391432696,0.0,1.0,0.0
37.51186440677966,-119.35593220338983,4000.0,18.874382095740923,36701.573395351224,36784.797882918414,0.0016666666666666668,1.0,0.0016666666666666668
37.51186440677966,-119.33898305084746,4000.0,7.233356958706438,38449.11684211276,38875.18522165623,0.03166666666666667,1.0,0.03166666666666667
37.51186440677966,-119.32203389830508,4000.0,10.738232489368562,39647.37089169086,39324.31928353963,0.0,1.0,0.0
37.51186440677966,-119.30508474576271,4000.0,11.61081401493599,40456.25126035359,41504.423487502354,0.0,1.0,0.0
37.51186440677966,-119.28813559322033,4000.0,8.241044749524079,40614.52657889563,41172.23908975743,0.07377777777777778,1.0,0.07377777777777778
37.51186440677966,-119.27118644067797,4000.0,4.808610108413166,41652.62483272326,40992.56713977396,0.0,1.0,0.0
37.51186440677966,-119.2542372881356,4000.0,17.400240328573243,41416.53213373621,42024.49799008612,0.0,1.0,0.0
